USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
visawant    2925  0.0  0.0 1315820 15044 ?       Ssl  May24   0:09 /usr/libexec/xdg-desktop-portal
visawant    2938  0.0  0.0 1170988 6544 ?        Ssl  May24   0:04 /usr/libexec/xdg-document-portal
root        2947  0.0  0.0   2564  1768 ?        Ss   May24   0:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
visawant    2961  0.0  0.0 1518824 21116 ?       Ssl  May24   0:03 /usr/libexec/evolution-addressbook-factory
visawant    2967  0.0  0.5 2116828 180584 ?      Ssl  May24   1:01 /usr/libexec/xdg-desktop-portal-gnome
visawant    3038  0.0  0.0 647364 21496 ?        Ssl  May24   0:15 /usr/libexec/xdg-desktop-portal-gtk
passim      3117  0.0  0.0 676476 15356 ?        Ssl  May24   0:11 /usr/libexec/passimd
visawant    3248  0.0  0.0 769376 27404 ?        Sl   May24   0:01 /usr/bin/python3 /usr/share/ibus-typing-booster/engine/main.py --ibus
visawant    3798  0.0  0.0 1413268 29448 ?       Ssl  May24   0:06 /usr/bin/gnome-calendar --gapplication-service
visawant    3809  0.0  0.0 232668 17144 ?        Ssl  May24   0:00 /usr/lib64/firefox/firefox --dbus-service /usr/bin/firefox
visawant    3838  0.0  0.0 758992  9932 ?        Sl   May24   0:00 /usr/libexec/gvfsd-trash --spawner :1.7 /org/gtk/gvfs/exec_spaw/0
visawant    3883  0.0  0.0  46896  5916 ?        Ss   May24   0:00 /usr/libexec/bluetooth/obexd
visawant    3903  0.0  0.2 1589364 90588 ?       SNsl May24   7:30 /usr/libexec/tracker-miner-fs-3
visawant    3955  0.0  0.0 527844  6184 ?        Ssl  May24   0:03 /usr/libexec/flatpak-session-helper
visawant    3960  0.0  0.0   6356   820 ?        Ss   May24   0:00 server --sh -n /run/user/1000/.flatpak-helper/pkcs11-flatpak-3955 --provider p11-kit-trust.so pkcs11:model=p11-kit-trust?write-protected=yes
visawant    3996  0.0  0.0 546984 10620 ?        Ssl  May24   0:04 /usr/libexec/flatpak-portal
visawant    4100  0.7  0.4 710008 143272 ?       Sl   May24 224:28 /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.RWNJ72 -listenfd 4 -listenfd 5 -displayfd 6 -initfd 7 -byteswappedclients -enable-ei-portal
visawant    4115  0.0  0.0 1095096 23024 ?       Ssl  May24   0:21 /usr/libexec/gsd-xsettings
visawant    4140  0.0  0.0 634036 19524 ?        Sl   May24   1:05 /usr/libexec/ibus-x11
visawant    4167  0.0  0.1 1407776 53944 ?       Sl   May24   8:54 /usr/libexec/mutter-x11-frames
visawant   11411  0.9  1.8 35525856 597088 ?     SLl  May25 286:51 /opt/google/chrome/chrome
visawant   11417  0.0  0.0 227072  1828 ?        S    May25   0:00 cat
visawant   11418  0.0  0.0 227072  1748 ?        S    May25   0:00 cat
visawant   11419  0.0  0.0   4856  2828 ?        Ss   May25  13:29 /usr/libexec/cgroupify app-gnome-google\x2dchrome-11411.scope
visawant   11422  0.0  0.0 33577108 3380 ?       Sl   May25   0:00 /opt/google/chrome/chrome_crashpad_handler --monitor-self --monitor-self-annotation=ptype=crashpad-handler --database=/home/visawant/.config/google-chrome/Crash Reports --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=lsb-release=Fedora Linux 40 (Workstation Edition) --annotation=plat=Linux --annotation=prod=Chrome_Linux --annotation=ver=131.0.6778.264 --initial-client-fd=5 --shared-client-connection
visawant   11424  0.0  0.0 33568896 2456 ?       Sl   May25   0:00 /opt/google/chrome/chrome_crashpad_handler --no-periodic-tasks --monitor-self-annotation=ptype=crashpad-handler --database=/home/visawant/.config/google-chrome/Crash Reports --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=lsb-release=Fedora Linux 40 (Workstation Edition) --annotation=plat=Linux --annotation=prod=Chrome_Linux --annotation=ver=131.0.6778.264 --initial-client-fd=4 --shared-client-connection
visawant   11430  0.0  0.1 34422160 45964 ?      S    May25   0:00 /opt/google/chrome/chrome --type=zygote --no-zygote-sandbox --string-annotations --crashpad-handler-pid=11422 --enable-crash-reporter=, --change-stack-guard-on-fork=enable
visawant   11431  0.0  0.1 34422148 49944 ?      S    May25   0:00 /opt/google/chrome/chrome --type=zygote --string-annotations --crashpad-handler-pid=11422 --enable-crash-reporter=, --change-stack-guard-on-fork=enable
visawant   11433  0.0  0.0 34422172 9276 ?       S    May25   0:13 /opt/google/chrome/chrome --type=zygote --string-annotations --crashpad-handler-pid=11422 --enable-crash-reporter=, --change-stack-guard-on-fork=enable
